id;message;has_read;has_emerg_alert;has_sign_out;sender_ref_table;sender_ref_id;receiver_ref_table;receiver_ref_id;status;student_id;has_private_active;school_id;last_modified;last_modified_by
1;downgrade;true;false;true;definitive;2164;spice paper clothes;5187;boo er;8327;true;29717;2024-04-08T05:04:21;plop geez broadcast
2;liquidity ew;false;false;false;under;28876;assembly wetly;21645;dreamily diminish;13455;true;21733;2024-04-07T23:38:33;soupy scornful
3;evenly;false;false;true;pish thoroughly;24044;inasmuch now;12921;barring;28997;false;1931;2024-04-08T02:57:28;use
4;gee provided queasily;false;true;true;about busily;14609;cockpit;17760;considering;27947;true;20838;2024-04-08T10:35:05;woot
5;once oh duh;false;false;true;hungrily straight except;26299;qua woot;22052;info;21343;false;12339;2024-04-07T15:12:57;grimy versify but
6;kitten lest even;false;true;true;via blah;14593;aboard;20837;mmm;8640;true;19015;2024-04-08T04:52:13;poison adverb
7;unto under;true;false;true;wholly;12682;nod;4653;violently;2507;true;6711;2024-04-07T17:44:38;surprisingly
8;snowstorm dependable;true;false;false;scarify;22188;fabulous across;14655;democracy swiftly uncomfortable;16209;true;26844;2024-04-08T05:17:50;preoccupy
9;psst aha;true;true;false;fob ack;24163;studious psst structure;7807;separately;22454;true;31729;2024-04-08T01:59:18;bashfully
10;squeak hawk eek;false;true;true;pish definite off;6875;after;30537;finally throughout;27101;false;22786;2024-04-08T11:04:45;wherever
